156,200,226,91,163,207,41,120,184
81,19,124,182,55,122,251,135,98
167,191,91,96,166,86,57,137,77
166,221,187,105,194,202,50,149,194
250,156,180,236,83,157,183,18,133
20,98,154,3,154,199,51,212,233
121,100,51,191,152,40,246,215,44
210,200,196,196,162,147,224,102,36
196,203,207,133,178,190,34,153,194
176,222,159,246,224,114,243,153,62
174,199,232,255,187,120,255,127,14
31,119,180,255,127,14,44,160,44
140,86,75,227,119,194,127,127,127
82,86,157,132,113,163,101,100,149
128,131,173,145,137,155,177,160,188
31,119,180,219,219,141,158,218,229
152,223,138,255,152,150,197,176,213
152,223,138,255,152,150,127,127,127
188,189,34,255,152,150,219,219,141
199,199,219,39,40,148,188,189,34
31,119,180,255,127,14,44,160,44
152,48,47,133,42,41,208,92,68
191,176,195,131,136,175,209,193,194
95,45,19,163,128,121,129,78,38
201,107,105,184,56,65,215,143,138
198,164,171,158,129,149,174,134,140
174,199,232,255,127,14,255,187,120
225,202,226,158,205,234,221,208,179
201,175,165,217,165,163,159,142,134
199,217,201,115,165,108,137,178,92
